01|BUDAPEST  |009|BUDAPEST          09|00000002|CIGÁNY                        |00040419|03|    BIKICS JÓZSEF                       |000059|MCDSZ                         |3|nem nyert                     |00001102
01|BUDAPEST  |009|BUDAPEST          09|00000002|CIGÁNY                        |00057273|04|    CSORBA LAJOS                        |000000|FÜGGETLEN                     |1|nyert                         |00001569
01|BUDAPEST  |009|BUDAPEST          09|00000002|CIGÁNY                        |00034876|05|    DARÓCZI JÁNOS GYULA                 |000000|FÜGGETLEN                     |1|nyert                         |00001672
01|BUDAPEST  |009|BUDAPEST          09|00000002|CIGÁNY                        |00022234|06|    HORVÁTH GYULA                       |000000|FÜGGETLEN                     |3|nem nyert                     |00001337
01|BUDAPEST  |009|BUDAPEST          09|00000002|CIGÁNY                        |00047102|07|    KOVÁCS ÁRPÁD                        |000000|FÜGGETLEN                     |1|nyert                         |00001462
01|BUDAPEST  |009|BUDAPEST          09|00000002|CIGÁNY                        |00074306|08|    KOVÁCS ÁRPÁDNÉ                      |000000|FÜGGETLEN                     |3|nem nyert                     |00001346
01|BUDAPEST  |009|BUDAPEST          09|00000002|CIGÁNY                        |00059510|09|    KOVÁCS JÓZSEF                       |000000|FÜGGETLEN                     |3|nem nyert                     |00000858
01|BUDAPEST  |009|BUDAPEST          09|00000002|CIGÁNY                        |00045782|10|    ORSÓS FERENC                        |000000|FÜGGETLEN                     |3|nem nyert                     |00000814
01|BUDAPEST  |009|BUDAPEST          09|00000002|CIGÁNY                        |00061719|11|    POZSÁR SÁNDORNÉ                     |000059|MCDSZ                         |3|nem nyert                     |00001391
01|BUDAPEST  |009|BUDAPEST          09|00000002|CIGÁNY                        |00016855|12|    VADÁSZI BÁLINT                      |000000|FÜGGETLEN                     |3|nem nyert                     |00000760
01|BUDAPEST  |009|BUDAPEST          09|00000002|CIGÁNY                        |00072884|13|    VALLA ÉVA                           |010140|ROMA MUNKAADÓK ÉS M.VÁLL.SZÖV.|1|nyert                         |00001556
01|BUDAPEST  |009|BUDAPEST          09|00000002|CIGÁNY                        |00035259|14|    VARGA SÁNDOR                        |000000|FÜGGETLEN                     |3|nem nyert                     |00001109
01|BUDAPEST  |010|BUDAPEST          10|00000002|CIGÁNY                        |00076407|01|    BOLDOGHÁZI ÁKOSNÉ                   |000000|FÜGGETLEN                     |1|nyert                         |00000838
01|BUDAPEST  |010|BUDAPEST          10|00000002|CIGÁNY                        |00007991|02|    DANYI SÁNDOR                        |000067|HHFÉSZSZ                      |1|nyert                         |00000769
01|BUDAPEST  |010|BUDAPEST          10|00000002|CIGÁNY                        |00009712|03|    DARÓCZI JÓZSEF                      |000067|HHFÉSZSZ                      |1|nyert                         |00000808
01|BUDAPEST  |010|BUDAPEST          10|00000002|CIGÁNY                        |00067114|04|    GÁLICZ JÓZSEFNÉ                     |000000|FÜGGETLEN                     |1|nyert                         |00000508
01|BUDAPEST  |010|BUDAPEST          10|00000002|CIGÁNY                        |00076094|05|    GERGELY KÁROLYNÉ                    |000067|HHFÉSZSZ                      |1|nyert                         |00000540
01|BUDAPEST  |010|BUDAPEST          10|00000002|CIGÁNY                        |00042474|06|    HORVÁTH JÁNOS                       |000000|FÜGGETLEN                     |3|nem nyert                     |00000489
01|BUDAPEST  |010|BUDAPEST          10|00000002|CIGÁNY                        |00065034|07|    MEZEI KÁLMÁNNÉ                      |000000|FÜGGETLEN                     |3|nem nyert                     |00000374
01|BUDAPEST  |010|BUDAPEST          10|00000002|CIGÁNY                        |00027142|08|    PLAJBÁSZ ANTAL                      |000000|FÜGGETLEN                     |3|nem nyert                     |00000244
01|BUDAPEST  |010|BUDAPEST          10|00000004|HORVÁT                        |00044745|01|DR. FACSKÓ ISTVÁN                       |000000|FÜGGETLEN                     |1|nyert                         |00001915
01|BUDAPEST  |010|BUDAPEST          10|00000004|HORVÁT                        |00004934|02|    FILIPOVICS MÁTÉ                     |000000|FÜGGETLEN                     |1|nyert                         |00001100
01|BUDAPEST  |010|BUDAPEST          10|00000004|HORVÁT                        |00070773|03|    ISPÁNOVITY ÉVA                      |000000|FÜGGETLEN                     |1|nyert                         |00001139
01|BUDAPEST  |010|BUDAPEST          10|00000004|HORVÁT                        |00031381|04|    ISPÁNOVITY MÁRTON                   |000000|FÜGGETLEN                     |1|nyert                         |00000934
01|BUDAPEST  |010|BUDAPEST          10|00000004|HORVÁT                        |00047914|05|    PÁNCSITY ISTVÁN                     |000000|FÜGGETLEN                     |1|nyert                         |00000930
01|BUDAPEST  |011|BUDAPEST          11|00000006|NÉMET                         |00063280|01|    BAJTAINÉ MAYER ÉVA                  |000000|FÜGGETLEN                     |1|nyert                         |00007829
01|BUDAPEST  |011|BUDAPEST          11|00000006|NÉMET                         |00067143|02|    FARKAS MÁRTA                        |000099|NÉMET KULTÚREGYESÜLET BUDAPEST|1|nyert                         |00006123
01|BUDAPEST  |011|BUDAPEST          11|00000006|NÉMET                         |00021777|03|    JOHANN SCHUTH                       |000000|FÜGGETLEN                     |1|nyert                         |00005685
