01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |031|DR. FEITL ISTVÁN                        |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |032|DR. BOGNÁR ANDRÁS                       |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |033|DR. CSALAGOVITS IMRE                    |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |034|    CSAPLÁROSNÉ DR.KATKÓ ÉVA            |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |035|    SCHMUCK ANDOR                       |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |036|    ANDÓ SÁNDOR                         |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |037|    SOMODI JÁNOSNÉ                      |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |038|    CZAIER GYÖRGY                       |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |039|DR. MOLNÁR LÁSZLÓ                       |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |040|    SZABÓ ISTVÁN                        |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |041|    CSILLAG FERENC                      |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |042|    GÁL JÁNOS                           |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |043|    OLÁH JÓZSEF                         |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |044|    CSANAKI JÓZSEF                      |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |045|    KOVÁCS ESZTER                       |3|nem nyert
