1|01|BUDAPEST                 |22|DR. |MARTINI FERENC                                              |00001934|FÜGGETLEN JELÖLT              
1|01|BUDAPEST                 |22|    |CSEPELLA IMRE                                               |00010270|MAGYAR DEMOKRATA FÓRUM        
1|01|BUDAPEST                 |22|DR. |PETŐ IVÁN                                                   |00013820|SZABAD DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |22|    |HARRACH PÉTER PÁL                                           |00002366|KERESZTÉNYDEMOKRATA NÉPPÁRT   
1|01|BUDAPEST                 |22|DR. |HAJDU JÓZSEF                                                |00002512|MAGYAR SZOCIALISTA MUNKÁSPÁRT 
1|01|BUDAPEST                 |22|    |NÉMETH LÁSZLÓ ÁKOS                                          |00003235|FIATAL DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |22|    |VARGA JÓZSEFNÉ DR.                                          |00000789|HAZAFIAS VÁLASZTÁSI KOALÍCIÓ  
1|01|BUDAPEST                 |22|    |VANKÓ MAGDOLNA                                              |00004764|MAGYAR SZOCIALISTA PÁRT       
1|01|BUDAPEST                 |23|    |MÉCS IMRE                                                   |00012010|SZABAD DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |23|DR. |GÉCZI ISTVÁN                                                |00003552|FÜGGETLEN JELÖLT              
1|01|BUDAPEST                 |23|    |DRAGON PÁL                                                  |00001776|FÜGG.KISGAZDA FÖLDM. POLG. P. 
1|01|BUDAPEST                 |23|DR. |HORNOK LÁSZLÓ                                               |00007938|MAGYAR DEMOKRATA FÓRUM        
1|01|BUDAPEST                 |23|DR. |SZILÁRD FERENC                                              |00001549|MAGYAR SZOCIALISTA MUNKÁSPÁRT 
1|01|BUDAPEST                 |23|    |SIKLÓSI ATTILA                                              |00004096|MAGYAR SZOCIALISTA PÁRT       
1|01|BUDAPEST                 |23|    |BOGDÁNY ZOLTÁN                                              |00003553|FIATAL DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |24|    |TŐZSÉR ERNŐ                                                 |00001377|VÁLLALKOZÓK PÁRTJA            
1|01|BUDAPEST                 |24|    |MAJDÁN PÁL                                                  |00001016|MAGYAR SZOCIALISTA MUNKÁSPÁRT 
1|01|BUDAPEST                 |24|    |SIMON ISTVÁN                                                |00001839|KERESZTÉNYDEMOKRATA NÉPPÁRT   
1|01|BUDAPEST                 |24|    |DÖME ZOLTÁN                                                 |00000726|HAZAFIAS VÁLASZTÁSI KOALÍCIÓ  
1|01|BUDAPEST                 |24|    |FERENCI ZOLTÁN                                              |00002063|FÜGGETLEN JELÖLT              
1|01|BUDAPEST                 |24|    |PALOTÁS JÁNOS                                               |00013819|MAGYAR DEMOKRATA FÓRUM        
1|01|BUDAPEST                 |24|    |VÉG GÁBOR                                                   |00010330|SZABAD DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |24|    |ÁDER JÁNOS                                                  |00004215|FIATAL DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |24|    |LESTÁRNÉ          DR. VARGA MÁRIA                           |00003056|MAGYAR SZOCIALISTA PÁRT       
1|01|BUDAPEST                 |25|DR. |NEMESSZEGHY GYÖRGY                                          |00002036|KERESZTÉNYDEMOKRATA NÉPPÁRT   
1|01|BUDAPEST                 |25|DR. |BALLA GÁBOR TAMÁS                                           |00008804|MAGYAR DEMOKRATA FÓRUM        
1|01|BUDAPEST                 |25|    |VARGA ANDRÁS                                                |00002327|FÜGGETLEN JELÖLT              
1|01|BUDAPEST                 |25|DR. |KÁLNOKI GYÖNGYÖSSYISTVÁN                                    |00001707|HAZAFIAS VÁLASZTÁSI KOALÍCIÓ  
1|01|BUDAPEST                 |25|DR. |RUTTNER GYÖRGY                                              |00004424|FÜGG. SZOCIÁLDEMOKRATA PÁRT   
1|01|BUDAPEST                 |25|    |SZENT-IVÁNYI      ISTVÁN                                    |00009892|SZABAD DEMOKRATÁK SZÖVETSÉGE  
